Ссылка,Заголовок,Текст,Темы,Дата,Время
https://www.metalinfo.ru/ru/news/156104,ИТ-команда Северстали автоматизировала мониторинг поставщиков,"В 2023 году команда кластера «Корпоративные процессы» IT-функции «Северстали» реализовала очень важный и нужный инструмент в компании — систему, анализирующую риски взаимодействия с контрагентами в части товаров и услуг по определённым факторам.
Для этого ИТ-команда объединилась с дирекцией по продажам сырья и закупкам, офисом по сопровождению закупочных процедур управления по обеспечению бизнеса и дирекцией по правовым вопросам «Северстали».
Автоматизированный скоринг или мониторинг поставщиков — это важная часть работы с контрагентами в области формирования закупочной процедуры, определения победителя и взаимодействия с поставщиком.
Проектная команда определила перечень факторов рисков, все значения которых анализируются автоматически из внешних и внутренних систем: MDG, BW, SRM, «СПАРК».
Во время проведения закупочной процедуры в системе SRM пользователь получает информацию о сработавших факторах риска по всем поставщикам, подавшим предложения.
«В ходе реализации мы столкнулись с рядом сложностей. Одна из них — найти компромисс между функциями о предоставлении результатов в различных разрезах и направлениях для разных бизнес-единиц. Но благодаря участникам проектной команды удалось достичь результата, который удовлетворил все заинтересованные стороны», — комментирует руководитель проекта Артём Костюков.",Северсталь;ИТ в металлургии;закупки;поставщики;закупочная деятельность;цифровые технологии,2023-12-08T12:10,08 декабря 2023 г.
https://www.metalinfo.ru/ru/news/156108,Русполимет удостоен серебряной медали за совместную разработку с НГТУ им. Р.Е. Алексеева,"С целью поощрения и популяризации отечественных производственных, научно-производственных и научно-исследовательских коллективов, разработавших и внедривших в эксплуатацию оборудование и технологии, отвечающие современному техническому уровню, освоивших производство новых видов высококачественной металлопродукции,оргкомитет Международной промышленной выставки «Металл-Экспо» учредил золотые и серебряные медали.Такими медалями ежегодно награждаются лучшие предприятия и организации среди участников выставки.
10 ноября в Москве в рамках «Металл-Экспо-2023» состоялась церемония награждения предприятий, ком­паний и институтов медалями и дипломами лауре­атов XXIX Международной промышленной выставки. АО «Русполимет» было удостоено серебряной меда­ли за совместную научно-исследовательскую работу с ФГБОУ ВО «Нижегородский государственный техниче­ский университет им. Р.Е.Алексеева». Высокую оцен­ку конкурсной комиссии форума получила «Разработ­ка составов и технологии применения экзотермических смесей для повышения выхода годного металла при литье слитков из стали 08-12Х18Н10Т».
О лауреатах серебряных и золотых медалей «Металл-Экспо-2023» читайтев декабрьском выпуске МСС.",Металл-Экспо;Русполимет;золотые и серебряные медали;Нижегородская область,2023-12-08T11:34,08 декабря 2023 г.
https://www.metalinfo.ru/ru/news/156096,Олег Кожемяко: металлургический завод в Приморье введут в строй в 2030 г.,"Власти Приморского края рассчитывают на ввод металлургического завода в бухте Суходол вблизи города Большой Камень, ориентированного на потребности судоверфи «Звезда», до конца десятилетия.
Сейчас наша задача — обеспечить его инфраструктурой: это дороги, инженерия, которая сейчас работает, — сообщил журналистам губернатор Приморского края Олег Кожемяко в рамках выставки «Россия» на ВДНХ.
«Работы ведутся на площадке. Надеюсь, что до 2030 года он будет запущен», — добавил он.
«Роснефть» приступила к реализации проекта по строительству Приморского металлургического завода в конце 2021 года. Проект реализуется в рамках поручения президента РФ Владимира Путина по обеспечению судоверфи «Звезда» в Большом Камне крупноформатным стальным листом.
Ожидается, что производительность объекта составит 1,5 млн тонн в год, он будет включать в себя две очереди: сталепрокатное производство (прокатный стан 5000) и трубопрокатное производство (трубный стан). Основной продукцией завода будет стальной, в том числе крупноформатный, листовой прокат (до 4,2 метра шириной и до 24 метров длиной), а также трубы большого диаметра для магистральных нефте- и газопроводов в объеме 200-220 тыс. тонн в год.",Приморский край;металлургический завод;новое производство,2023-12-08T10:57,08 декабря 2023 г.
https://www.metalinfo.ru/ru/news/156101,На ЕМЗ в ДНР отремонтировали тепловоз,"На Енакиевском металлургическом заводе (ЕМЗ, г.Енакиево, Донецкая Народная Республика) выполнен текущий ремонт маневрового тепловоза серии ТЭМ7А № 0498, – сообщает пресс-служба Министерства промышленности и торговли ДНР.
«В ходе работ в полном объеме была произведена замена элементов колесных пар, в кабине машиниста были установлены новые кресла для удобства локомотивных бригад, было проведено плановое техническое обслуживание тепловоза и его покраска», – уточняют в пресс-службе.
При этом в пресс-службе добавляют, что тепловоз облегчит работу цеха эксплуатации Управления железнодорожного транспорта ЕМЗ при перегоне на станцию «Енакиево» тяжеловесных вагонов с продукцией.Напомним, что ЕМЗ входит в состав созданного в середине 2021 г. ООО «Южный горно-металлургический комплекс», включающий также Алчевский металлургический комбинат (АМК), Макеевский металлургический завод (ММЗ), Стахановский завод ферросплавов (СЗФ), Ясиновский коксохимический завод (ЯКХЗ), «Макеевкокс» и Комсомольское рудоуправление.
ЕМЗ – предприятие с полным технологическим циклом, является поставщиком сырья для его филиала – ММЗ и производит передельный чушковый чугун, непрерывнолитую заготовку, равнополочный и неравнополочный уголок, двутавровую балку, швеллер, круг, железнодорожные узкоколейные рельсы, горячекатаный несимметричный полособульб для судостроения и другую металлопродукцию.",Енакиевский металлургический завод,2023-12-08T10:33,08 декабря 2023 г.
https://www.metalinfo.ru/ru/news/156095,"Металлоинвест выплатит дивиденды за девять месяцев в размере 0,259 рубля на акцию","Единственный акционер ""Металлоинвеста"" принял решение выплатить дивиденды за девять месяцев 2023 года в размере 0, 259 рубля на акцию. Об этом говорится в сообщении компании.
""<...> выплатить по результатам 9 месяцев 2023 года дивиденды по обыкновенным акциям общества в размере 0,259 (0 целых 259/1000) рубля на одну обыкновенную акцию за счет чистой прибыли общества за 9 месяцев 2023 года"", - сообщила компания.
Датой, на которую определяются лица, имеющие право на получение дивидендов, установлено 17 декабря.
Чистая прибыль ""Металлоинвеста"" по международным стандартам финансовой отчетности (МСФО) в первом полугодии 2023 года снизилась по сравнению с таким же периодом годом ранее более чем в 3,5 раза, до 37,15 млрд рублей. Выручка уменьшилась в 1,5 раза, до 219,16 млрд рублей, себестоимость продаж снизилась до 106,6 млрд рублей.",Металлоинвест;дивиденды,2023-12-08T09:52,08 декабря 2023 г.
https://www.metalinfo.ru/ru/news/156093,Акционеры ТМК одобрили допэмиссию в пределах 4% уставного капитала в рамках SPO,"Акционеры ПАО ""Трубная металлургическая компания"" (ТМК) одобрили допэмиссиию в пределах 40 млн акций номинальной стоимостью 10 руб. каждая по закрытой подписке в рамках проведенного в сентябре SPO компании.
Цена размещения дополнительных обыкновенных акций - 220,68 рубля за бумагу (соответствует цене при SPO), говорится в сообщении ТМК.
Уставный капитал ТМК состоит из 1 033 135 366 обыкновенных акций номинальной стоимостью 10 рублей, его размер составляет 10 331,35 млн рублей. Таким образом, одобренное размещение соответствует приблизительно 4% действующего уставного капитала.
В сентябре ТМК в рамках SPO продала 18 млн обыкновенных акций (1,74% от общего количества акций компании), цена в рамках вторичного размещения составила 220,68 рубля за акцию, в ходе размещения было привлечено 3,97 млрд рублей.
В рамках предложения каждый покупатель через шесть месяцев получает право приобрести по цене SPO одну дополнительную акцию на каждую бумагу, купленную в рамках SPO. ТМК также должна провести дополнительную эмиссию акций по закрытой подписке в пользу продающего свои акции в ходе SPO основного акционера МК ООО ""ТМК Стил Холдинг"" по цене SPO. Основной акционер планирует выкупить весь дополнительный выпуск акций, за исключением ценных бумаг, которые будут приобретены миноритарными акционерами в рамках преимущественного права. Путем участия в дополнительной эмиссии акций основной акционер передаст компании денежные средства, привлеченные в рамках SPO.",ТМК;акционеры;облигации,2023-12-08T09:11,08 декабря 2023 г.
https://www.metalinfo.ru/ru/news/156092,Экспорт стали из РФ в Китай упал после прошлогоднего роста,"Россия в январе—октябре сократила экспорт стальных полуфабрикатов в Китай в 3,4 раза, до 658 тыс. тонн, следует из данных таможни КНР. В денежном выражении экспорт упал в четыре раза, до $300 млн. Поставки всех видов российской продукции черных металлов (не только полуфабрикатов) также снизились в три раза, до $576 млн. Основную долю в полуфабрикатах занимает сляб, который используется для выпуска плоского проката. В металлургических компаниях РФ не предоставили комментариев.
В 2022 году Россия резко нарастила поставки стальной продукции в Китай на фоне европейских санкций. Ассоциация черных металлургов «Русская сталь» заявляла в апреле прошлого года, что на восточное направление необходимо перенаправить 4 млн тонн стали. Владелец НЛМК Владимир Лисин в июне 2022 года говорил, что Китай является сложным направлением для металлургов из-за логистики и стоимости фрахта. «Мы возим туда на уровне себестоимости, притом что у них свой профицит стального производства. С учетом роста стоимости транспорта для многих предприятий поставки в Азию являются запредельными»,— говорил он. Несмотря на это, экспорт полуфабрикатов в Китай в 2022 году вырос в три раза, до 2,3 млн тонн.
Однако в этом году замедление спроса на сталь на китайском рынке выдавило российские поставки и заставило местных металлургов самим наращивать экспорт.
По данным Platts, экспорт китайской стали в 2023 году приблизится к рекордным с 2016 года показателям в 90 млн тонн. Производство стали также увеличится на 16 млн тонн, до 951 млн тонн. Некоторые источники Platts ожидают, что ситуация с высоким уровнем производства стали и низким внутренним спросом сохранится и в следующем году. За январь—ноябрь импорт стали упал на 29,2% по сравнению с аналогичным периодом прошлого года, до 6,98 млн тонн, пишет Platts.",Россия;Китай;Экспорт,2023-12-08T08:09,08 декабря 2023 г.
https://www.metalinfo.ru/ru/news/156083,Северсталь открыла прием заявок на первую корпоративную олимпиаду для школьников (видео),"«Северсталь» приглашает школьников 10-11-х классов из 9-ти регионов страны принять участие в первой корпоративной олимпиаде по математике и физике. Прием заявок от старшеклассников продолжается до 20 декабря.
«Победа у каждого своя. Компания всегда готова поддерживать тех, кто к ней стремится. Например, победа для нашего фонда «Дорога к дому» - улыбки детей, для боксеров турнира им И.П. Бардина – «золото» на долгожданных соревнованиях, для активных жителей города – получение гранта на собственный проект, для сотрудников нашей компании – новые производственные достижения. В этом году «Северсталь» приняла решение впервые поддержать тех, кто готов идти за победой в науку, а именно тех, кто этот путь начинает – школьников, – прокомментировал генеральный директор «Северстали» Александр Шевелев. – Рекомендую присоединиться к проекту. Это возможность продемонстрировать свои знания, развить аналитическое мышление, выиграть призы, а также, получить предложение о заключении с компанией целевого договора на обучение по востребованным специальностям».
К участию приглашаются школьники из Вологодской, Мурманской, Ленинградской, Костромской, Ярославской, Архангельской, Белгородской и Орловской областей, Республики Карелия.Победителей олимпиады ждут денежные призы за 1, 2 и 3 место в каждом направлении. У участников очного этапа будет возможность заключить с компанией «Северсталь» целевой договор на обучение по востребованным специальностям. В рамках него компания гарантирует трудоустройство. Кроме того, Череповецкий государственный университет – ключевой партнер «Северстали» в части подготовки кадров – учтет баллы победителей при поступлении.
Отборочный этап Олимпиады пройдет в онлайн-формате. Всех участников ждет решение заданий по предметам «Физика» и «Математика». Финал пройдет очно в Череповце – самом крупном индустриальном центре Северо-Запада.
Организаторы проекта – компания «Северсталь», благотворительный фонд «Дорога к дому», Череповецкий государственный университет. Отметим, что в олимпиаде допускается участие учеников 8-9 классов. В данном случае участники будут решать задания для 10 класса.Подробнее об участии.
",Северсталь;подготовка кадров,2023-12-08T06:14,08 декабря 2023 г.
https://www.metalinfo.ru/ru/news/156082,ТМК удостоена премии «Компания будущего» за создание корпоративной соцсети Mobi2U,"ТМК)стала лауреатом премии «Компания будущего - 2023», которая вручается по инициативе делового журнала «Компания». ТМК получила награду в специальной номинации «Корпоративная социализация» за создание и развитие внутренней социальной сети Mobi2U.
Приз специальной номинации присуждается за эффективные способы масштабного командообразоваия и идейного сплочения сотрудников территориально распределенных компаний. Эксперты высоко оценили проект ТМК по созданию внутренней социальной сети Mobi2U и отметили, что Mobi2U раскрывает таланты каждого из десятков тысяч работников, стимулирует их профессиональный и личностный рост, повышает вовлеченность в ежедневную жизнь компании.
Развитием инструмента внутренней коммуникации в виде мобильного приложения Mobi2U занимается Корпоративный университет ТМК2U. Mobi2U включает две новостные ленты: Mobi — наиболее значимые события компании, производственные результаты и MobiActive — спортивные, культурные и прочие мероприятия. Отдельная лента Mobi-view позволяет сотрудникам публиковать свои собственные новости. Кроме того, в приложении есть развлекательные рубрики, викторины, конкурсы, флэшмобы, за победу в которых полагается вознаграждение во внутренней валюте — mobit’ах. Потратить их можно в Mobi-магазине, где представлен широкий ассортимент товаров с корпоративной символикой и полезных гаджетов.
Mobi2U стало полноценным инструментом продвижения общекорпоративных ценностей ТМК, объединило регионы и города присутствия компании, познакомило сотрудников с деятельностью их коллег из других производственных блоков, придало новый импульс совместной работе. В октябре 2023 года приложение отпраздновало пятилетний юбилей.
«Корпоративные социальные сети позволяют налаживать контакты между сотрудниками крупных предприятий с подразделениями по всей стране. Но ТМК пошла дальше и создала площадку не только для дистанционного общения, но и для получения интересного и полезного контента, участия в конкурсах, геймификации, а также прямого общения между сотрудниками и топ-менеджерами компании. Mobi2U объединило более 50 тыс. работников, поместив их в одно информационное поле. Мы благодарны за высокую оценку проекта и планируем развивать его дальше для решения актуальных задач бизнеса», — сказала заместитель генерального директора ТМК по управлению персоналом – директор Корпоративного университета ТМК2U Елена Позолотина.",ТМК;награды;Корпоративные коммуникации,2023-12-07T16:49,07 декабря 2023 г.
https://www.metalinfo.ru/ru/news/156069,Видеорепортаж Завода стальной дроби о работе на «Металл-Экспо-2023»,"Завод стальной дроби делится обзорным видео с выставки ""Металл-Экспо-2023"", предлагая посмотреть и вспомнить, какими насыщенными были дни форума металлургов для всех его участников и посетителей.
В видеообзоре приводятся также блиц-интервью клиентов предприятия, потребителей стальной дроби.
",telegram;дробь стальная;Металл-Экспо;конгрессно-выставочная деятельность,2023-12-07T16:10,07 декабря 2023 г.
