Ссылка,Заголовок,Текст,Темы,Дата,Время
https://www.metalinfo.ru/ru/news/159483,На Промсорт-Калуга с 1 апреля повысят зарплату,"С 1 апреля 2024 года работникам Промсорт-Калуга повысят заработную плату на 10%.
Повышение заработной платы на предприятии проводятся регулярно. Также сотрудникам предприятия предоставляются дополнительные социальные льготы и гарантии: материальная помощь многодетным семьям и семьям с детьми, оплачиваемые занятия спортом, санаторно-курортное лечение, дотация на питание и др.
Группа Промсорт - один из крупнейших в России производителей сортового проката и метизов. Производственные мощности, объединяющие четыре завода – Промсорт-Урал, Промсорт-Тула, Промсорт-Калуга и Промсорт-Метиз – позволяют выпускать порядка 5 млн тонн стали и проката в год.
Портфель продукции включает арматуру в прутках и бунтах, катанку,метизы, фасон, а также конструкционный прокат из рядовых и качественных марок сталей. Всю продукцию компания реализует через Торговый дом «Тула-Сталь».
Общая численность персонала составляет 4 тыс. человек.",Промсорт;социальные программы;социальная политика,2024-03-28T13:48,28 марта 2024 г.
https://www.metalinfo.ru/ru/news/159472,Осторожность. Российский рынок листового проката и сварных труб: 20-27 марта,"В то же время, продукция с более высокой добавленной стоимостью продолжает постепенно набирать обороты. В апреле металлургические компании снова поднимут котировки на холоднокатаный прокат и оцинкованную сталь. В этих секторах соотношение спроса и предложения более благоприятное для поставщиков. Производители, в частности, настроены особенно оптимистично в отношении проката с покрытиями.
Металлотрейдеры, со своей стороны, надеются на то, что спрос на горячекатаный прокат в апреле будет достаточно оживленным, чтобы, наконец, добиться устойчивого превышения спотовых цен над заводскими. Шансы на это, действительно, есть, хотя прежние проблемы с избыточным предложением сохранят актуальность. Даже в наиболее благоприятных вариантах дальнейшего развития событий котировки не подскочат вверх, а будут медленно подниматься.
С полным текстом обзора Вы можете ознакомиться поссылке.
Приглашаем всех принять участие в новыхвыставкахиконференциях, которые состоятся в 2024 г.! В Баку 18-19 апреля пройдетконференция ""Рынок металлов Центральной Азии и Закавказья"". А 25-26 апреля в Волгограде и Волжском состоится конференция ""Нержавеющая сталь и российский рынок"".",Цены;Российский рынок металлов;листовой прокат;Прогнозы;сварные трубы,2024-03-28T12:12,28 марта 2024 г.
https://www.metalinfo.ru/ru/news/159467,Специалисты ЗАВОДА СТАЛЬНОЙ ДРОБИ поделились опытом дробеобработки,"На базе ЗАВОДА СТАЛЬНОЙ ДРОБИ (г. Курган) прошел семинар для руководителей и специалистов предприятий металлургического, машиностроительного и трубного комплекса. Всего в мероприятии приняли участие более 30 участников, представляющие ведущие предприятия России.
СпециалистыЗАВОДА СТАЛЬНОЙ ДРОБИподелились опытом и правилами подбора дроби под различные технологические процессы и обсудили факторы, влияющие на конечное качество подготовки поверхности. Особое внимание было уделено наиболее эффективным способам оптимизации процесса дробеочистки для поддержания производственных процессов на стабильно высоком уровне. Участники смогли задать вопросы и обсудить возможности для роста и развития своего производства.
Мероприятие завершилось экскурсией на предприятие. Гости познакомились с технологией производства стальной дроби V Abrasive. Прошли по пути всей технологической цепочки и посетили лабораторию качества конечной продукции.",дробь стальная;дробеметная очистка;дробеочистка,2024-03-28T11:52,28 марта 2024 г.
https://www.metalinfo.ru/ru/news/159463,Российские металлурги нарастили выпуск готового проката,"За январь-февраль 2024 года металлурги РФ произвели 9,2 млн т нелегированной стали в слитках/прочих первичных формах и полуфабрикатов из неё. Снижение объёмов в годовом соотношении - 3%. Об этом свидетельствуют данные Росстата. Февральские показатели снизились к предыдущему месяцу на 1,2%, год к году - на 3,2%.
Производство готового проката составило в течение января-февраля 9,9 млн тонн - на 0,8% меньше в годовом исчислении. За февраль объёмы выросли: на 0,6% относительно января и на 1,1% год к году.
Стальных труб, профилей пустотелых и их фитингов российские металлурги выпустили за 2 месяца 1,9 млн т, снижение к январю-февралю 2023 - 11,9%. Февральское производство увеличилось к январю на 10,2%, но год к году зафиксировано снижение на 7,6%.",Черная металлургия;готовый прокат,2024-03-28T10:56,28 марта 2024 г.
https://www.metalinfo.ru/ru/news/159436,Карельский окатыш обновляет оборудование для работы на высоте (видео),"Новое оборудование появится в управлении ремонтов. На участке ремонта карьерной техники в работу запустят специальную систему с подвижной анкерной точкой.
Подробности смотрите в видеосюжете.
",Северсталь;Карельский окатыш,2024-03-28T10:29,28 марта 2024 г.
https://www.metalinfo.ru/ru/news/159451,ММК-МЕТИЗ запустил новое производство крепежных изделий и проволоки,"ММК-МЕТИЗзапустил новое производство импортозамещающих крепежных изделий и проволоки. Общие инвестиции в проект составили 1,5 млрд рублей. Из них 500 млн рублей в виде льготного займа предоставил Фонд развития промышленности (ФРП) на приобретение высокотехнологичного оборудования.
Объем производства арматурной, оцинкованной и сварочной проволоки составит более 105 тыс. тонн в год, машиностроительных и железнодорожных гаек – 4,2 тыс. тонн в год. При их изготовлении используется исключительно отечественное сырье.Новое производство «ММК-МЕТИЗ» нацелено на удовлетворение растущего спроса на метизные изделия и на снижение объема импорта на российском рынке крепежа. Ранее, по оценкам компании, доля поставок сварочной легированной проволоки и машиностроительных гаек из-за рубежа достигала 50%.
Средства займа ФРП были направлены на приобретение современного оборудования: волочильных станов, станков перемотки, линии термообработки и оцинкования проволоки, линии по производству арматуры, гайконарезных станков, комплекта печных установок. На предприятии создано 110 новых высокопроизводительных рабочих мест.
«Главной стратегической целью ММК-МЕТИЗ является создание высокотехнологичного комплекса по производству современных видов металлоизделий. Мы обратились за поддержкой в Фонд развития промышленности, так как условия сотрудничества и организация инвестиционной деятельности Фонда подтверждаются высокой репутацией среди многочисленных промышленников и предпринимателей. Теперь мы можем предложить нашим потребителям новое высококачественные метизные изделия», – рассказал директор ММК-МЕТИЗ Сергей Дубовский.
Потребителями метизной продукции станут крупные промышленные предприятия, в числе которых иМагнитогорский металлургический комбинат.
Арматурная проволока широко применяется в строительной отрасли при изготовлении железобетонных изделий, каркасов и настилов, сварочная – металлургическими предприятиями при автоматической сварке швов нефтегазовых труб, а оцинкованная – для выпуска стальных канатов, сеток и ограждений, бронирования кабеля.
Железнодорожные гайки используются в железнодорожных скреплениях верхнего строения пути, а машиностроительные – во всех отраслях промышленности для скрепления различных конструкций.
",ММК-Метиз;новое производство;Проволока-крепеж;ФРП;Металл-Экспо,2024-03-28T10:08,28 марта 2024 г.
https://www.metalinfo.ru/ru/news/159447,"""Русская сталь"": отказ от мировых индикаторов приведет к искажению ценообразования","Отказ от учета мировых товарных индикаторов при определении монопольно высокой и монопольно низкой цены на сталь в России приведет к искажению ценообразования, предупреждает ассоциация ""Русская сталь"" в письме (копия есть у ""Интерфакса"") на имя главы Минэкономразвития Максима Решетникова.
В случае введения таких ""нерыночных ограничений"" произойдет рост экономической эффективности экспортных продаж по сравнению с внутренним рынком, что создаст предпосылки для увеличения объемов экспорта. При этом появятся ""посредники, которые будут использовать возможность купить в России дешево с целью последующего экспорта"", обращает внимание ассоциация и просит не поддерживать или направить на доработку законопроект № 409891-8 о внесении изменений в законе№35-ФЗ ""О защите конкуренции"", который находится на рассмотрении в Госдуме и прошел первое чтение.
Согласно пояснительной записке к проекту закона предлагаемые изменения в закон, в частности, предусматривают независимость внутренних цен и отвязку от показателей биржевых и (или) внебиржевых индикаторов цен на мировых товарных рынках в целях стабилизации цен путем эффективного выявления и пресечения монопольно высоких цен на товары и приведения антимонопольного регулирования с учетом изменившейся конъюнктуры товарных рынков.
""В настоящее время цены на внутренних товарных рынках РФ зачастую основываются на индикаторах, сложившихся на зарубежных рынках, без учета экономической ситуации на внутреннем рынке. При этом может складываться ситуация, когда рост цен на определенную продукцию не обоснован какими-либо иными факторами, за исключением повышения общемировых цен, что не должно отражаться на внутреннем ценообразовании в отношении продукции отечественного производства, - говорится в пояснительной записке. - В результате на ряд товаров внутри страны могут быть установлены цены, которые не учитывают баланс спроса и предложения, а также возможности внутреннего потребителя, что приводит к необоснованному подорожанию продукции взаимосвязанных отраслей и снижению покупательской способности внутри страны"".
В ""Русской стали"" напоминают, что в России ежегодно производится около 75 млн тонн стальной продукции, из которых 25-30 млн тонн экспортируется из-за отсутствия достаточного внутреннего спроса. Возможное введение дополнительных экспортных ограничений (пошлин или квот), приведет к потере экспортных рынков и сокращению производства, что потребует четкого определения будущих объемов спроса в целях сохранения необходимого производственного оборудования, выведение которого из эксплуатации может привести к невозможности увеличения поставок на внутренний рынок при росте спроса на нем, опасаются металлурги.
Ассоциация также обращает внимание Минэкономразвития, что российская металлургия остается конкурентной отраслью: ""Финансовые результаты деятельности компаний - это не следствие завышения цен, а результат своевременной и планомерной работы по повышению собственной эффективности"". Введение новых мер регулирования будет лишать отрасль стимулов к развитию.
""Русская сталь"" напоминает, что российские потребители приобретают металлопрокат по ценам ниже, чем их конкуренты в других странах, ""т.е. отечественные металлопотребляющие отрасли изначально имеют конкурентные преимущества по стоимости приобретения металлопроката"".",Русская сталь;Минэкономразвития;Цены на прокат,2024-03-28T09:28,28 марта 2024 г.
https://www.metalinfo.ru/ru/news/159432,ПНТЗ внедрил собственную технологию производства бурильных замков,"ПАО «Первоуральский новотрубный завод» (ПНТЗ, входит в «Трубную металлургическую компанию») разработало технологию толстостенных труб-полуфабрикатов для производства бурильных замков. Предприятие уже освоило выпуск новой продукции и изготовило для заказчика более 3,3 тыс. тонн данного вида труб.
Как рассказали на ПНТЗ, использование труб-полуфабрикатов позволит производителям бурильных замков перейти к технологии изготовления замков из труб вместо их производства из сплошной заготовки. Данный способ является более эффективным.
Трубы-полуфабрикаты ПНТЗ изготавливает из легированных хромомолибденовых марок стали, их наружный диаметр составляет от 117 до 174 мм, а внутренний – от 45 до 85,1 мм. Для производства используется непрерывнолитая заготовка с минимальным содержанием неметаллических компонентов.
Для того, чтобы освоить новый вид труб, на предприятии разработали специальные режимы и маршруты прокатки. Отметим, что бурильные замки применяются для быстрого и надежного соединения сегментов бурильной колонны.
Как рассказал управляющий директор ПНТЗ Владимир Топоров, новое производство внедрили без дополнительных инвестиций за счет взаимодействия сотрудников цеха и специалистов технологического управления предприятия.",ПНТЗ;Потребители - нефтегаз;ТМК,2024-03-28T09:08,28 марта 2024 г.
https://www.metalinfo.ru/ru/news/159437,IRC сократила EBITDA на 18% за 2023 г. на фоне снижения цен на железную руду,"Производитель железной руды IRC (основной актив - Кимкано-Сутарский ГОК в ЕАО) в 2023 году снизил скорректированную EBITDA на 18%, до $45,8 млн, сообщила компания.
Выручка компании сократилась на 9%, до $253 млн, в основном вследствие снижения цен на железную руду. Доля России в выручке вновь уменьшилась - с 10% до 2%, остальное приходится на Китай.
Денежные затраты IRC остались примерно на уровне 2022 года - $78,9 на тонну. Снижение затрат на транспортировку (за счет сокращения доли отгрузок по морю, которые традиционно дороже, чем по железной дороге) нивелировало рост по другим статьям.
По итогам года IRC получила чистый убыток, приходящийся на основных акционеров, в размере $156,8 млн, это включает в числе прочего обесценение активов на $163,9 млн. Чистая прибыль IRC, скорректированная на неденежные статьи, составила $8,7 млн.
""Поскольку отработка Кимканского месторождения подходит к концу, а запуск добычи на Сутарском только ожидается, сейчас мы переживаем переходный период, который неизбежно повлияет на наши операционные и финансовые результаты. Этот временный этап, начавшийся во второй половине 2023 года, привел к снижению наших производственных показателей и операционной эффективности. Мы ожидаем, что 2024 станет самым сложным годом для компании с операционной точки зрения"", - предупреждает инвесторов основной акционер и председатель совета директоров IRC Николай Левицкий (его слова приводятся в материалах компании). Запуск добычи на Сутаре запланирован на середину 2024 года.
",IRC;Кимкано-Сутарский ГОК;железная руда;финансовые результаты,2024-03-28T08:30,28 марта 2024 г.
https://www.metalinfo.ru/ru/news/159426,На Макеевском метзаводе чистят гидротехнические сооружения,"На Макеевском металлургическом заводе (ММЗ, г.Макеевка, Донецкая Народная Республика) стартовал процесс работ по очистке гидротехнических сооружений оборотного цикла водоснабжения стана 150. В настоящее время начался подготовительный этап к очистке отстойников, – сообщает пресс-служба ООО «Южный горно-металлургический комплекс» (ЮГМК).
«В ходе производственного процесса технологическому оборудованию стана 150 требуется постоянное и бесперебойное охлаждение, вода должна быть очищенной и иметь соответствующую температуру. Отработанная вода со стана подается на горизонтальные отстойники, осветлитель, брызгальные бассейны, где осаждается и остывает. После чего осветленная и охлажденная вода насосами подается на стан 150. В преддверии наступления высоких летних температур специалисты заблаговременно проводят очистку всех механизмов», – рассказывает начальник участка водоснабжения ЦЭО Андрей Цуканов.ММЗ входит в состав ЮГМК, является филиалом Енакиевского металлургического завода, предприятия с полным технологическим циклом и поставщика сырья для ММЗ. Завод специализируется на выпуске катанки, арматуры и углового проката.
В августе 2023 г. ММЗ произвел 96 тыс. т проката, что было наибольшим результатом с начала 2023 г. В сентябре 2023 г. объем выпуска этого вида продукции на ММЗ превысил 105 тыс. т, что стало максимальным результатом за последние 5 лет. В 2023 г. объем производства готовой продукции на прокатных станах ММЗ достиг рекордного уровня и превысил 700 тыс. т. В феврале 2024 г. объемы производства готовой продукции на ММЗ, по сравнению с февралем 2023 г., увеличились в 2 раза, до без малого 69 тыс. т. В частности, на стане 150 выпущено 35,206 тыс. т проката, на стане 390 – 33,758 тыс. т.",Макеевский металлургический завод,2024-03-28T08:09,28 марта 2024 г.
