Ссылка,Заголовок,Текст,Темы,Дата,Время
https://www.metalinfo.ru/ru/news/157947,ММК-МЕТИЗ вступил в  Союз наставников и рабочих педагогов «Центральный институт труда»,"Магнитогорский метизно-калибровочный завод ОАО «ММК-МЕТИЗ» в качестве коллективного члена вступил в Союз наставников и рабочих педагогов «Центральный институт труда».
К вступлению в Союз были приглашены предприятия с развитой системой наставничества для обмена практиками совершенствования системы. Теперь работники ОАО ""ММК-МЕТИЗ"" будут участвовать во всех проектах Союза, включая конгрессы наставников, семинары, конкурсы, мастер-классы по наставничеству и бережливому производству. Фотопортреты лучших наставников завода будут размещены на Доске почета наставников России.
Отметим, что на Магнитогорском метизно-калибровочном заводе ОАО «ММК-МЕТИЗ» сложилась прочная команда работников, умеющих передавать знания, обладающих огромным опытом, ответственностью, вовлеченностью и желанием помогать. Трансформация системы наставничества на предприятии в 2020 году была направлена на увеличения ее эффективности. Теперь наставничество — это не только практическое обучение работников и приобретение необходимых компетенций, но и приобщение к корпоративной культуре, принятие ценностей, формирование позитивного отношения к профессии и гордости за принадлежность к ОАО ""ММК-МЕТИЗ"".
Накопленный опыт позволил масштабировать практику работы с вновь принятыми работниками на студентов, получающих высшее и среднее профессиональное образование, а также студентов в рамках реализации Федерального проекта «Профессионалитет».",ММК-Метиз,2024-02-12T10:52,12 февраля 2024 г.
https://www.metalinfo.ru/ru/news/157945,ММК продолжает работу по повышению энергоэффективности,"На Магнитогорском металлургическом комбинате продолжается комплексная работа по совершенствованию системы энергоменеджмента и повышению энергоэффективности всех производственных процессов. Экономический эффект от этой деятельности в 2023 году составил сотни миллионов рублей.
В компании успешно функционирует система энергетического менеджмента (СЭнМ) – один из эффективных инструментов снижения энергозатрат. В 2023 году ММК одним из первых в России сертифицировал СЭнМ по новой версии национального стандарта. По результатам проведенного аудита орган по сертификации РОСТЕХСЕРТ признал систему энергетического менеджмента ПАО «ММК» результативной и в полной мере соответствующей требованиям национального стандарта ГОСТ Р ИСО 50001-2023.
Важнейшие направления повышения энергоэффективности производственных процессов в Группе ММК включают проработку и внедрение энергоэффективных идей, реализацию малобюджетных высокоэффективных проектов (baby-capex) в сфере энергосбережения, а также оказание энергосервисных услуг. В 2023 году через блок сопровождения идей приложения «Платформа энергоменеджмента» (ПЭМ) работники подали 925 энергоэффективных идей, 303 из них были реализованы с плановым экономическим эффектом 78,8 млн рублей. Кроме того, реализованы 5 проектов baby-capex с общим ожидаемым эффектом в объеме 61,4 млн рублей.
Продолжалось выполнение обязательств по договорам на оказание энергосервисных услуг по проектам модернизации систем освещения цехов управления главного энергетика и технологических цехов с общим эффектом в объеме 193,9 млн рублей.
Еще одним инструментом повышения энергоэффективности являются проекты по снижению стоимости покупной электроэнергии за счет регулирования объемов выработки электроэнергии собственными электрическими станциями, проведения ремонтов энергетического оборудования станций в часы с минимальной стоимостью электрической энергии, снижения потребляемой электрической мощности в подразделениях в часы с максимальной стоимостью электрической энергии. Общий эффект от этих мероприятий составляет 337,8 млн рублей.
В 2023 году продолжилось развитие чат-бота в Telegram, позволяющего регистрировать потери топливно-энергетических ресурсов.  Приложение было создано с целью приобщения персонала Группы ПАО «ММК» к выявлению и передаче информации о нерациональном использовании ТЭР (утечки, сливы, выход воды на поверхность, наледи на трубопроводах и т. д.) в Центр энергосберегающих технологий ПАО «ММК». С июня 2023 года заработал механизм передачи информации о зафиксированных утечках в блок сопровождения идей «Платформы энергоменеджмента». В 2023 году через чат-бот выявлено 146 фактов нерационального использования ТЭР. Эффект от устранения выявленных нарушений превысил 1,1 млн рублей.
В числе приоритетных направлений деятельности Группы ММК в области повышения энергоэффективности и модернизации производственных процессов является сокращение выбросов парниковых газов. В рамках приказа генерального директора ПАО «ММК» по энергосбережению и повышению энергетической эффективности проводится количественная оценка выбросов парниковых газов от реализации энергосберегающих мероприятий. По итогам 2023 года снижение эмиссии СО2 от реализованных мероприятий программы составит 14 785,9 тонны в годовом исчислении.
«Все проекты модернизации Группы отвечают требованиям наилучших доступных технологий и направлены на повышение эффективности производственных процессов, включая энергоэффективность, которая не только обеспечивает существенный экономический эффект, но и имеет немаловажное экологическое значение», – отметил генеральный директор ПАО «ММК» Павел Шиляев.
",ММК;энергоэффективность,2024-02-12T10:25,12 февраля 2024 г.
https://www.metalinfo.ru/ru/news/157940,ЕВРАЗ выделил 130 млн руб. на модернизацию Абагурской обогатительной фабрики,"На Абагурской обогатительной фабрике ЕВРАЗа прошел экологический пресс-тур с участием представителей комитета охраны окружающей среды и природных ресурсов администрации Новокузнецка, общественников и депутатов.Участники посмотрели, как работает машина обжига известняка, оценили процессы мокрой магнитной сепарации и сушки концентрата. Специалисты предприятия рассказали гостям об экологических проектах.
Так, в природоохранную программу Новокузнецка на 2022?2024 годы вошло 4 мероприятия Абагурской фабрики: модернизация аспирационных установок обогатительного цеха, техническое перевооружение систем аспирации корпуса первичного смешивания, ремонт напорных магистральных шламопроводов и водоводов. Реализация всех мероприятий снизит выбросы вредных веществ в атмосферный воздух города, а также исключит риск загрязнения земель.
«ЕВРАЗ ЗСМК входит в число предприятий-лидеров по природоохранной деятельности. На Абагурской фабрике выбросы вредных веществ в атмосферу города снизились более чем на 90 % за счет закрытия агломерационного производства. На освобожденных от производства площадях проводятся рекультивация земель и высадка деревьев. Кроме того, на фабрике источники выбросов будут контролировать в автоматическом режиме и оперативно реагировать на любые отклонения», – отметила руководитель общественного экологического совета при администрации Новокузнецка Наталья Журавлева.
В целом в природоохранную программу Новокузнецка на 2022?2024 годы вошло 9 мероприятий ЕВРАЗ ЗСМК. Общие вложения компании в их реализацию составят более 4 млрд рублей. Ключевые проекты – строительство станции доочистки сточных вод шламохранилища на выпуске № 2, строительство сероочистки за агломашинами, оптимизация оборотной системы площадки рельсового проката со строительством очистных сооружений, внедрение технологии переработки огнеупорных изделий.
Основное снижение выбросов загрязняющих веществ в атмосферный воздух в 2023 году достигнуто за счет реализации мероприятия по внедрению технологии конечного охлаждения коксового газа в закрытой теплообменной аппаратуре, которое вошло в федеральную программу «Чистый воздух» нацпроекта «Экология».
Как отметила главный эколог ЕВРАЗ ЗСМК Галина Демидова, комбинат не ограничивается мероприятиями, заявленными в городскую программу. Ежегодно проводятся ремонты газоочистных установок, при необходимости ведется наладка эффективности работы установок.
",Экология;Евраз;ЕВРАЗ ЗСМК;агломерационное производство,2024-02-12T08:57,12 февраля 2024 г.
https://www.metalinfo.ru/ru/news/157931,Куда девать и куда деваться? Российский и мировой рынок стали: 4-11 февраля 2024 г.,"Прежде всего, в начале февраля вышел отчет Росстата «Социально-экономическое положение России» за 2023 г. Темпы роста ВВП указаны в нем на уровне 3,6%. Это реально много — самый высокий показатель с 2011 г., если не считать 5,6% в 2021 г., после ковида.
Как и тогда, рост в 2023 г. в значительной мере имел восстановительный характер. Некоторые отрасли, например, автомобилестроение, показали солидную прибавку по сравнению с 2022 г., но пока сильно отстают от докризисного уровня. Однако в прошлом году были свои характерные особенности.
В 2023 г. основной вклад в экономический рост внес реальный сектор. Обрабатывающая промышленность продемонстрировала прибавку на 7,5% против 5,0% в 2021 г., а строительство — 7,9% против 6,0%. Безусловно, одним из наиболее динамичных секторов является сейчас оборонная промышленность, но немалую роль в достижение прошлогодних показателей внесли и некоторые гражданские отрасли — инфраструктурное строительство, машиностроение, производство электроники и некоторые другие.
Поданным«Северстали», металлопотребление в российской экономике увеличилось в прошлом году на 7% по сравнению с 2022 г. и достигло 46,3 млн. т. Это рекордный показатель как бы не с 90-х гг. прошлого века. Причем тогда оно падало, а сегодня — растет. Наибольшие темпы роста продемонстрировали машиностроение (+14%) и строительство инфраструктуры (+13%). При этом энергетика показала спад на 5% вследствие сужения добычи газа и нефти, а также сокращения инвестиционных программ крупнейших нефтегазовых компаний.
Можно ожидать, что те сектора, что были наиболее успешными в прошлом году, сохранят свои позиции и в текущем. Более того, мы начали получать первые результаты от крупных импортозамещающих проектов, что стартовали в самые сложные месяцы в середине 2022 г. или были вынуждены тогда переориентироваться на новых поставщиков оборудования. Впрочем, наиболее массовый ввод в строй новых производственных мощностей должен произойти в 2025-2026 гг.
В российской экономике становится меньше «рынка» и больше государственного начала. Прежде всего, это касается крупной промышленности и крупнейших инфраструктурных проектов. Очевидно, и в текущем году концентрация продолжит расти. Перефразируя классику, крупные станут еще крупнее, а их доля в экономике станет еще больше. Ведущие государственные и частные корпорации будут обеспечивать львиную долю экономического роста, притягивая к себе все больше финансовых, материальных и кадровых ресурсов.
В то же время, малый и средний бизнес остается в «рыночном» пространстве. Его функция очень важная, он обеспечивает гибкость экономики и быстро реагирует на всевозможные изменения. Но и несет основные потери от повышения процентных ставок. По мнению экспертов, дальнейшего их повышения уже не будет, но снижаться они будут медленно и неохотно. По той печальной причине, что государство, активно развивая экономику и выделяя триллионные средства на приоритетные проекты, одновременно раскручивает инфляционные процессы.
Поэтому весной оживление спроса на стальную продукцию на отечественном рынке, скорее всего, произойдет. Но этот процесс будет сильно выборочным. Потребление будут обеспечивать деньги государства и крупнейших компаний. Остальным придется играть роль доноров для бюджета и полигона для отработки мер Банка России по борьбе с инфляцией.
Вполне вероятно, что и такого спроса хватит для того, чтобы металлургические компании приняли решения о повышениях цен на различные виды стальной продукции — не в марте, так в апреле. Вариант с отсутствием заметного оживления весной, избытком предложения стальной продукции и ценовым обвалом тоже надо учитывать, но пока что он выглядит менее вероятным. По крайней мере, в начале года металлурги пошли на добровольное сокращение объемов выпуска.
Вообще, российский рынок стали находится под постоянным риском перепроизводства. По даннымWorldsteel,в 2023 г. в стране было выплавлено без малого 76 млн. т стали. И хотя внутреннее потребление продолжает расширяться, около 30 млн. т в год необходимо так или иначе пристраивать за рубежом.
КакотметилнаМеждународном форуме РСПП председатель Совета директоров «Северстали» Алексей Мордашов, российским металлургам необходим доступ на зарубежные рынки. При этом за два года так и не удалось создать полноценный механизм международных расчетов, способный вывести российские компании из режима западных санкций.
ХотяBloomberg,на который любят ссылаться некоторые российские ресурсы, - это та еще информационная помойка, специализирующаяся на фейковых вбросах, проблемы с платежами и расчетами действительно серьезные и проявляются то в Турции, то в странах Центральной Азии, то еще где. Обычно выходы находятся, но осадочек остается.
Впрочем, экспортные трудности российских компаний объясняются не только санкциями и логистикой. Текущая конъюнктура на мировом рынке стали оставляет желать много лучшего. Как раз в начале февраля на нем прекратились все повышательные процессы. После прохождения пика начался спад в США. Европейские производители листового проката уперлись в потолок, вызванный относительно низким реальным потреблением и завершением процесса пополнения запасов. Турецкие металлурги смогли избежать удорожания металлолома, но не в состоянии увеличить стоимость стальной продукции.
Китайские компании в этом году не стали устраивать тотальную распродажу перед праздниками, но цены на стальную продукцию у них понизились и на внутреннем рынке, и на экспорте. Скорее всего, во второй половине февраля, отгуляв новогодние каникулы, они поднимут котировки, но вероятность сильного и продолжительного подъема невелика.
Конечно, самой тяжелой гирей на ногах китайского рынка стали является жилищное строительство. По оценкамS&P Global Platts,его доля в национальном потреблении стальной продукции сократилась от 36,2% в 2020 г. до 30,5% в 2023 г. А на 2024 г. прогнозируется снижение этого показателя до 29,5%. При этом видимое потребление уменьшится до 268 млн. т по сравнению с 280 млн. т в 2023 г. Что-либо здесь изменить очень сложно. Сектор действительно был сильно перегрет, поэтому сейчас остается только понемногу спускать этот пузырь, чтобы он сам не лопнул с громким хлопком.
Но главный изъян, похоже, заключается в хроническом избытке предложения стальной продукции в Китае. Отрасль с 2017 г. прошла беспрецедентную модернизацию, в ходе которой была заменена чуть ли не треть мощностей по производству стали и проката. В меньших масштабах этот процесс будет продолжаться до конца десятилетия, как минимум. В результате Китай сейчас обладает прекрасной, современной металлургической промышленностью, которая производит немного больше стали и проката, чем требуется.
В прошлом году нетто-экспорт стали в Китае достиг 82,62 млн. т, что более чем на 30 млн. т превысило уровень годичной давности (51,36 млн. т). Производство, в конечном итоге, практически повторило показатель 2022 г. (1019 млн. т). Но в финансовом плане год оказался неудачным для металлургических компаний, многие из которых завершили его с убытками из-за низких цен на прокат и высоких — на сырье. Тем не менее, никто особенно не сокращал производство стальной продукции до декабря. И то, им это не помогло выправить не выгодное для них ценовое соотношение.
Вполне вероятно, что и в текущем году избыток производственных мощностей будет оказывать давление на стоимость стальной продукции в Китае. А при его статусе крупнейшего экспортера этот фактор будет ограничивать рост и на мировом рынке. Где тоже существует проблема избыточного предложения. В последние годы ряд стран ввели в строй новые мощности по производству стали и проката, превратившись из импортеров в экспортеров. А вот новых крупных покупателей, увы, не появляется.
Так что, не будет у российских металлургов в ближайшем будущем расширения экспортных поставок. Придется рассчитывать только на продолжение роста отечественного металлопотребления. Деваться-то некуда!..
Другие материалы о российском и мировом рынке стали читайте в разделе""Аналитика"".
Приглашаем всех принять участие в новыхвыставкахиконференциях, которые состоятся в 2024 г.! Программа текущего г. начнется 15-16 февраля в Сочи, где будет проведена конференция ""Региональная металлоторговля России"". Москва 14 и 15 марта примет конференцию ""Оцинкованный и окрашенный прокат: тенденции производства и потребления"". А на конференцию ""Рынок металлов Центральной Азии и Закавказья"" мы приглашаем 11-12 апреля в Баку.",Китай;Цены;Российский рынок металлов;Мировая экономика;Прогнозы;Мировой рынок стали;российская экономика,2024-02-12T07:14,12 февраля 2024 г.
https://www.metalinfo.ru/ru/news/157936,СинТЗ нарастит объемы выпуска муфт благодаря новой производственной линии,"Синарский трубный завод (СинТЗ), входящий в Трубную Металлургическую Компанию (ТМК), нарастил производственные мощности, что позволит увеличить объемы выпуска муфт для насосно-компрессорных труб (НКТ). На предприятии открыта автоматизированная муфтонарезная линия, производительность которой составляет до 900 тыс. муфт в год.
Благодаря высокой степени автоматизации и современной системе прослеживаемости оборудование обеспечит максимальный контроль за соблюдением технологии и высокое качество продукции. Выпускаемые на линии муфты будут направляться на следующие этапы технологической цепочки на другие предприятия в составе компании — Первоуральский новотрубный завод (ПНТЗ), ТМК Нефтегазсервис (ТМК НГС) и Челябинский трубопрокатный завод (ЧТПЗ).
«ТМК постоянно развивает производственные мощности, используя при этом наилучшие доступные технологии и создавая комфортные рабочие места. Ввод в эксплуатацию новой линии позволит СинТЗ нарастить объемы товарных муфт для НКТ с резьбой треугольного профиля. При этом благодаря современному оборудованию существенно сократится доля ручного труда. Мы планируем превратить этот участок в креативное пространство, применить здесь современные дизайнерские решения, чтобы создать условия, которые будут способствовать более полному раскрытию потенциала каждого сотрудника», — сказал управляющий директор СинТЗ Вячеслав Гагаринов.
В дальнейшем участок планируется расширить за счет установки дополнительного оборудования для фосфатирования и пропитки муфт.",СинТЗ;ТМК;Потребители - нефтегаз;ЧТПЗ;ПНТЗ,2024-02-12T06:07,12 февраля 2024 г.
https://www.metalinfo.ru/ru/news/157930,Заложили первый камень нового комплекса корпоративного университета ОМК в Выксе,"Инновации всегда начинаются с сотрудников. Корпоративный университет ОМК — важный этап в процессе подготовки и развития кадров рабочих и инженерных профессий. Собственный комплекс зданий позволит повысить качество их профессиональной подготовки.
Тут будут действовать более 600 учебных программ, заработают лаборатории по таким направлениям, как мехатроника, электропривод, качество, безопасность на производстве, экономика и другим. Учиться смогут сотрудники всех предприятий Группы ОМК.
«Университет — лишь часть нашей социальной программы по преображению Выксы. Всего же в ближайшие пять лет в развитие города мы вложим свыше 30 млрд рублей, а это значит, что люди, которые будут здесь учиться, жить и работать, продолжат укреплять ту базу, на которой держится Выкса уже более 260 лет, промышленность нашей страны и российская экономика в целом», – подчеркнул председатель Совета директоров ОМК Анатолий Седых на церемонии начала стройки.",ОМК;образование;подготовка кадров,2024-02-09T16:10,09 февраля 2024 г.
https://www.metalinfo.ru/ru/news/157921,Россия начнет готовиться к опытно-промышленной добыче железомарганцевых руд на дне Мирового океана,"Россия по окончанию геологоразведочных работ приступит к подготовке опытно-промышленной добычи железомарганцевых руд на дне Мирового океана. Об этом сообщил глава Роснедр Евгений Петров в ходе панельной дискуссии ""Геология. Возрождение легенды: результаты и перспективы"", прошедшей на Дне экологии в рамках международной выставки-форума ""Россия"" на ВДНХ, передаетИнтерфакс.
Петров отметил, что через 30-50 лет Мировой океан станет одним из основных источников минерального сырья на планете. ""Если взять в качестве примера железомарганцевые конкреции в Тихом океане, на которых работает Россия, то они обладают высокой концентрацией важнейших металлов для отечественной экономики"", - пояснил Петров.
""Почему сегодня началось активное освоение дна Мирового океана? Тренд задают страны, не обладающие собственной широкой ресурсной базой. Один из передовых лидеров - Япония, эта страна ограничена по площади, но, с учетом роста технологий и экономического развития, ей нужен доступ к многочисленным видам минерального сырья. Европейские страны тоже активно присутствую на этой арене. Например, существенно продвинулись Бельгия и Норвегия, в рамках работы на дне Мирового океана они, по сути, уже переходят к опытно-промышленной добыче. Кроме того, к числу крупных лидеров определенно можно отнести Китай, который сделал большой рывок в строительстве добычных судов, а также в разработке глубоководной техники"", - сказал глава Роснедр.
""По одному из контрактов - на железомарганцевые руды - в ближайшие 5-7 лет мы будем переходить к этапу опытно-промышленной добычи. Уже сейчас совместно с Минпромторгом ведутся проработки необходимой техники. У России накоплен колоссальный опыт создания глубоководной техники, но есть ряд компонентов, которые еще необходимо проектировать"", - отметил глава Роснедр.
Подробнее на Интерфакс",железомарганцевые руды;добыча,2024-02-09T15:48,09 февраля 2024 г.
https://www.metalinfo.ru/ru/news/157895,Новые кран-балки во втором сталепроволочном цехе Северсталь-метиза (видео),"Приводы с частотными преобразователями для плавного хода, светодиодный проектор и несколько видеокамер – такими устройствами оборудованы новые кран-балки на череповецком заводе «Северсталь-метиза».
Представители компании «Северсталь-метиз» примут участие в конференции «Качественный крепёж - надежность машин и металлоконструкций», которая пройдет 4 июня этого годав рамках выставки ""Металлоконструкции '2024"".
",Северсталь-Метиз;метизная продукция;метизная отрасль,2024-02-09T15:34,09 февраля 2024 г.
https://www.metalinfo.ru/ru/news/157928,Взаимодействие металлургов и трейдеров на рынке металлов развивается,"Металлоторговля в России проходит этап интенсивной трансформации. Металлургические компании, открывая новые филиалы своих сбытовых сетей и приобретая отдельных трейдеров, продолжают наращивать свои рыночные позиции. Металлоторговые компании, расширяя переработку проката и производство продукции высоких переделов, становятся многофункциональными сервисыми металлоцентрами. Помимо этого всем участникам рынка приходится решать множество проблем, связанных с трудностями в логистике, с дефицитом квалифицированных кадров, с ограничениями в поставках сырья, комплектующих, программных комплексов и т.п.
Как в таких условиях выстраивать стратегию стабильного развития? Чему уделять особое внимание? Как будет меняться конъюнктура в 2024 г.? Эти вопросы будут обсуждаться в рамкахпрограммы17-й Общероссийской конференции «Региональная металлоторговля России», которая пройдет 15-16 февраля 2024 г. в Сочи, в гостиничном комплексе «Альфа Сириус».
Ключевые темы конференции:
Для участия в конференции зарегистрировалосьболее 230 руководителей  и специалистовметаллоторговых и металлургических компаний, сервисных металлоцентров, поставщиков оборудования для металлопереработки и СМЦ, компаний-потребителей металлургической продукции.
Прием заявок на это мероприятие закрыт.
Журнал ""Металлоснабжение и сбыт"" приглашает участников рынка металлов ознакомиться с программами и запланировать свое участие вдругих конференциях текущего года по различным сегментам металлургического и металлоторгового бизнеса",конференции МС&С,2024-02-09T14:48,09 февраля 2024 г.
https://www.metalinfo.ru/ru/news/157903,Как производят трансформаторную сталь: выпуск 2 (видео),"В цехе холодной прокатки ВИЗ-Стали производят самый умный и высокотехнологичный металлопродукт в мире — трансформаторную сталь.
Путь от сырья до готовой продукции занимает больше месяца и состоит из десятка технологических операций.
Сколько этапов-переделов нужно пройти трансформаторной стали, чтобы обрести свои уникальные свойства, — смотрите в новом видеосюжете.
",ВИЗ-Сталь;Группа НЛМК;трансформаторная сталь,2024-02-09T14:13,09 февраля 2024 г.
