Ссылка,Заголовок,Текст,Темы,Дата,Время
https://www.metalinfo.ru/ru/news/154659,За девять месяцев российский импорт нержавеющей стали вырос на 28%,"Согласно экспертной оценке Ассоциации «Спецсталь», за первые девять месяцев текущего года, по сравнению с аналогичным периодом прошлого года, объем российского импорта основных видов продукции из нержавеющей стали увеличился на 28,1% и превысил 368 тыс.т. По сравнению с аналогичным периодом 2021 года объем вырос на 13,9%.
В период с января по сентябрь 2023 года, по сравнению с АППГ, объем импорта плоского х/к проката из нержавеющей стали увеличился на 25,8%, плоского г/к проката – на 5,8%, бесшовных труб – на 117,3%, сортового проката – на 85,9%, сварных труб – на 12,1% и проволоки – на 109,5%.Объем импорта первичной заготовки снизился на 29,4%.
Совокупные затраты российских импортеров увеличились на 9,9% и составили в эквиваленте 1,13 млрд USD. При этом оплата поставок в валютах дружественных стран выросла почти в 4 раза и составила в эквиваленте более 600 млн USD.Средняя таможенная стоимость ввезенной тонны продукции снизилась на 14,2% до 3083 USD/т. Количество прямых импортеров с объемом ввоза более 1тн увеличилось с 766 до 874 компаний.
Ведущими производителями импортируемой продукции являлись компании Китая, на чью долю пришлось 67% от общего объема поставок (в Q1-Q3 2022 – 64%), Индии – 21% (17%) и Индонезии – 6% (6%).
Доля поставок продукции, произведенной в дружественных странах, увеличилась с 75% до 97%, а физический объем вырос на 47% до 356,4 тыс.тонн.",Нержавеющая сталь;Нержавейка,2023-10-31T15:04,31 октября 2023 г.
https://www.metalinfo.ru/ru/news/154703,Маркетплейсу вторсырья Vtorion исполнился год,"За это время Vtorion вырос с нуля до заметного отраслевого продукта. На маркетплейсе покупают и продают лом онлайн свыше двухсот крупных ломозаготовителей. Через платформу прошло более 13 тыс. отгрузок.
Металлургические предприятия, включая Группы НЛМК и ММК, закупают вторсырье с помощью платформы Vtorion, ставшей надежным игроком отрасли, который рядом и предлагает решения даже в переломные моменты.
",маркетплейс;ломозаготовка;лом черных металлов;ломопереработка,2023-10-31T14:07,31 октября 2023 г.
https://www.metalinfo.ru/ru/news/154701,"ФТС собрала 30 млрд руб. от ""экспортных"" пошлин на прокат и другие товары","Федеральная таможенная служба (ФТС) России собрала 30 млрд рублей от введенной с 1 октября экспортной пошлины на несколько видов товаров. Об этом на пленарной сессии Международного таможенного форума сообщил временно исполняющий обязанности руководителя ведомства Руслан Давыдов.
""В среднем ежедневно мы собираем в бюджет 26-27 млрд рублей. С 1 октября были введены экспортные пошлины на широкий перечень товаров. За это время в бюджет перечислено около 30 млрд рублей. Это небольшие значения в контексте общего объема перечислений"", - сказал Давыдов.
С 1 октября в России действуют гибкие экспортные пошлины на широкий перечень товаров с привязкой к курсу рубля, которые касаются в том числе алкоголя, табака, рыбы и молочной продукции, сахара, кондитерских изделий, какао, продукции горнодобывающей промышленности, черной и цветной металлургии, драгоценных металлов, угля и удобрений. Как сообщило правительство РФ, мера носит временный характер и направлена на защиту внутреннего рынка. Размер пошлины составляет 4% при курсе более 80 и менее 85 рублей за доллар, 4,5% - при курсе 85-90 рублей за доллар, 5,5% - от более 90 до менее 95 рублей за доллар, а 7% - при курсе свыше 95 рублей включительно.",Металлопрокат;Экспорт;экспортные пошлины,2023-10-31T13:46,31 октября 2023 г.
https://www.metalinfo.ru/ru/news/154691,32 эфира пройдет в студии «Вместе» на площадке «Металл-Экспо’2023» (видеоприглашение),"Северсталь приглашает клиентов и партнеров посетить свой стенд на 29-й Международной промышленной выставке «Металл-Экспо». В этом году в условиях развития импортозамещения, выстраивания новых логистических цепочек и усиления присутствия на домашних рынках на первое место вышла способность к взаимовыгодной кооперации и стратегическому партнерству. С помощью сервиса перспективного инжиниринга компания работает над улучшением характеристик изделий, приносит дополнительную эффективность заказчикам инфраструктурных объектов за счет комплексного предложения, увеличивает загрузку производств партнеров-переработчиков и многое другое.
Северсталь всегда готова обсуждать текущие потребности, отвечать на вызовы и предлагать инновационные и эффективные решения. В ходе выставки представители компании запланировали более 200 переговоров. Успешные истории партнерства будут обсуждатьсяв студии сообщества «Вместе». Широкая тематика дискуссий будет дополнена аналитикой ключевых рынков сбыта. Прямые эфиры запланированы на портале и в телеграм-канале «Вместе». Всего пройдет 32 эфира в студии «Вместе». Для получения ссылки на трансляцию –регистрируйтесь на этой странице.
В этом годуСеверстальпокажет на стенде (номер -  21B21) все разнообразие своей деятельности и подготовит для посетителей приятные сюрпризы. Достижения в области разработки новых видов продукции будут представлены, в том числе, в виде образцов в специальной витрине. Часть продукции будет также использована в качестве элементов конструктива стенда и для создания арт-объектов.
Особое внимание будет уделено цифровым решениям, так как они являются стратегическим приоритетом, влияющим на качество продукции и удобство клиентского пути. Одновременно с этим Северсталь готова предложить свои ИТ-разработки другим промышленным компаниям.
Также на стенде можно будет ближе ознакомиться с деятельностью коллег: первым на рынке маркетплейсом для быстрых и безопасных сделок по покупке и продаже металлопроката «Платферрумом» и Нижне-Волжским трубным заводом, который одновременно является и клиентом, и партнером. Коллеги изСеверсталь-метизапредставят на отдельном стенде (номер -22A22) продуктовые решения для разных направлений: от инфраструктурного строительства до добычи, от крупных оптовых поставок до мелкого опта и розницы для физических лиц.
""Давайте вместе сделаем «Металл-Экспо’2023» насыщеннее и продуктивнее!"" - резюмирует Северсталь и публикует видеообращение, созданное с помощьютехнологий искусственного интеллекта, применение каковых в металлургии также будет обсуждаться во время форума металлургов.",Северсталь;Металл-Экспо;металлопотребление;Выставки;конгрессно-выставочная деятельность;telegram;инновации;цифровая трансформация;Платферрум;Северсталь-Метиз;инфраструктура,2023-10-31T13:25,31 октября 2023 г.
https://www.metalinfo.ru/ru/news/154689,Невесело бежать вниз с горы. Российский рынок сортового проката: 23-30 октября,"К негативным кратковременным факторам прибавляются долгосрочные. Решение Банка России о повышении ключевой ставки до 15%, а также заявления о проведении жесткой денежной политики в обозримом будущем может вызвать значительный спад в жилищном строительстве, где скоро может остаться только льготное ипотечное кредитование. Девелоперы интенсивно сбивают цены на стальную продукцию. По-прежнему активно правительство, требующее понижения стоимости проката для строек с государственным финансированием.
В то же время, металлургические компании, объявляя о готовности идти навстречу пожеланиям властей, не намерены сильно сбрасывать котировки на арматуру для «простых смертных». Камнем преткновения является металлолом, который в течение всего октября постепенно дорожал. Объем ломосбора сократился после установления нового порядка расчетов с физлицами из-за неопределенности обстановки. Можно спорить о том, на сколько подорожает металлолом зимой, но дешевле, чем сейчас, он, скорее всего, стоить не будет.
С полным текстом обзора Вы можете ознакомиться поссылке.
Приглашаем всех принять участие в деловыхмероприятиях, запланированных на 2023 г.Так, большое количество интересных мероприятий пройдет в Москве с 7 по 10 ноября в рамках деловой программы Международной промышленной выставки""Металл-Экспо"".",Металлолом;Цены;арматура;Российский рынок металлов;сортовой прокат;Прогнозы,2023-10-31T12:20,31 октября 2023 г.
https://www.metalinfo.ru/ru/news/154690,УК Уральская Сталь освоит новые технологии в газовой отрасли,"Генеральный директор Управляющей компании «Уральская Сталь» Денис Сафин и Заместитель Председателя Правления ПАО «Газпром» Олег Аксютин торжественно подписали Программу совместного научно-технического сотрудничества для освоения новых технологий в газовой отрасли. Церемония прошла на полях Петербургского Международного Газового Форума.
Реализация Программы позволит повысить эффективность строительства и эксплуатации объектов добычи, транспортировки и переработки природного газа при безусловном соответствии надежности оборудования самым высоким современным требованиям.
Документ в частности предполагает, что Загорский трубный завод и Газпром ВНИИГАЗ совместно разработают и освоят производство инновационной трубной продукции с повышенными характеристиками для строительства трубопроводов в условиях Крайнего Севера, в зонах повышенной сейсмичности и активных тектонических разломов, а также труб для транспортировки водорода и другой продукции.
На следующей неделеУК Уральская Стальбудет участвовать в 29-й Международной промышленной выставке ""Металл-Экспо-2023"" (номер стенда - 22A07).",Загорский трубный завод;Газпром;Загорский ТЗ;Потребители - нефтегаз;новые технологии,2023-10-31T12:18,31 октября 2023 г.
https://www.metalinfo.ru/ru/news/154675,ОрелМеталлПолимер поставил крупную партию проката с ПУР-покрытием,"Компания ""ОрелМеталлПолимер"" поставила 450 тонн проката с полимерным покрытием на основе полиуретана (ПУР) толщиной до 70 мкм для применения в агрессивной среде с повышенными требованиями к механической прочности.
Полиуретановое покрытие толще полиэфирного и обладает более высокими защитными свойствами, в особенности стойкостью к атмосферным и механическим воздействиям. Именно по этой причине данный тип покрытия был выбран для эффективного решения задачи заказчика.
Подробнее о производственных возможностях компании ""ОрелМеталлПолимер"" читайтев ноябрьском выпуске журнала ""Металлоснабжение и сбыт"".",ОрелМеталлПолимер;Стали с покрытиями;оцинкованный и окрашенный прокат,2023-10-31T12:02,31 октября 2023 г.
https://www.metalinfo.ru/ru/news/154680,ВИЗ-Сталь повышает качество продукции,"На заводе «ВИЗ-Сталь» (предприятие группыНЛМК) ввели в эксплуатацию модернизированные агрегаты нанесения электроизоляционного покрытия на стальную полосу АЭИП №3 и №7. Они выполняют финальную технологическую операцию в производстве трансформаторного проката, точность которой влияет на качество поверхности металла.
«На агрегаты установили новые роликовые системы транспортировки металла через печь, которые улучшают синхронизацию скоростей роликов и полосы. Это исключит риски образования дефектов на поверхности трансформаторного проката, повысит качество продукции и увеличит долю премиум-марок в общем объёме производства.
Реконструкцию АЭИП проводят в рамках стратегической программы по повышению качества трансформаторного проката. Обновление парка агрегатов проходит поэтапно. В следующем году современным приводом оснастят АЭИП №4 и №5», - сообщают в металлургической компании.",ВИЗ-Сталь;электротехническая сталь;НЛМК;качество продукции,2023-10-31T11:20,31 октября 2023 г.
https://www.metalinfo.ru/ru/news/154676,Примеры цифровизации ведущих предприятий будут рассмотрены на площадке «Металл-Экспо’2023»,"Исследовательско-технологический центр«Аусферр»приглашает принять участие в круглом столе «Эффективное управление технологическими данными в металлургии: Примеры цифровизации ведущих предприятий», который пройдетв рамках ""Металл-Экспо-2023"". Дата проведения: 8 ноября 2023 года (14:00 – 18:00). Место проведения: Москва, ЭКСПОЦЕНТР, Павильон 2, Зал для семинаров 4.
На мероприятии будут рассмотрены актуальные вопросы управления технологическими данными — сбор, хранение и дальнейшее использование данных, генерируемых и накапливаемых системами автоматизации предприятий.• Примеры создания и эксплуатации хранилища технологической информации - особенности и ограничения металлургии• Использование данных для совершенствования технологии, снижения потерь, общего повышения эффективности производства• Новые инструменты анализа - предиктивные модели, ИИ• Практические примеры эффективного применения инструментов
Круг вопросов может быть интересен представителям технологических подразделений, службам обеспечения и контроля качества, профильным ИТ-специалистам.
Количество мест ограничено.
Регистрация.",ИТ в металлургии;Металл-Экспо;Аусферр;программное обеспечение;цифровая трансформация;цифровизация;конгрессно-выставочная деятельность;цифровые технологии;telegram,2023-10-31T11:00,31 октября 2023 г.
https://www.metalinfo.ru/ru/news/154674,Горняки шахты «Есаульская» добыли 1 млн тонн угля с начала 2023 года,"Добычной участок №1 шахты «Есаульская» Распадской угольной компании (РУК) под руководством начальника участка Дмитрия Волкова и бригадира Олега Басманова выдал на-гора 1 млн тонн угля с начала года. С производственным достижением горняков поздравил генеральный директор Распадской угольной компании Владимир Мельниченко.
Миллион тонн угля добыт из двух лав по пласту 29а. До апреля 2023 года бригада Олега Басманова дорабатывала запасы лавы 29-39. После перемонтажа оборудования, который занял более 3 месяцев, в июле горняки начали добывать уголь из новой лавы 29-30. В настоящее время здесь ежемесячно выдают на-гора 180 тыс. тонн угля.
Производительно работать им помогает современный комбайн и механизированный комплекс с новой управляющей гидравликой. Для безопасной работы лава 29-30 оснащена современными цифровыми датчиками контроля метана, кислорода и оксида углерода. Для проветривания выемочного участка и отвода метановоздушной смеси с поверхности пробурили 4 скважины большого диаметра.Общие запасы пласта 29а – более 10 млн тонн коксующегося угля марки ГЖ.",Распадская;коксующийся уголь,2023-10-31T10:46,31 октября 2023 г.
https://www.metalinfo.ru/ru/news/154657,На ЯКХЗ в ДНР заменили конвейерную ленту,"В углеподготовительном цехе Ясиновского коксохимического завода (ЯКХЗ, г.Макеевка, Донецкая Народная Республика) силами его работников была произведена замена изношенной конвейерной ленты транспортера У-6, – сообщает пресс-служба Министерства промышленности и торговли ДНР.
«Замена ленты обеспечит стабильную и безаварийную работу конвейера, а также повысит  эффективность производства», – подчеркивают в пресс-службе.
Напомним, что ЯКХЗ входит в состав созданного в середине 2021 г. ООО «Южный горно-металлургический комплекс», включающего также Алчевский металлургический комбинат (АМК), Енакиевский и Макеевский металлургические заводы (ЕМЗ, ММЗ), Стахановский завод ферросплавов (СЗФ), «Макеевкокс» и Комсомольское рудоуправление.
Завод специализируется на выпуске кокса доменного и литейного, коксовых орешка и мелочи, смолы и бензола каменноугольных, аммония сульфата коксохимического, а также полимеров бензольных отделений.",ЮГМК;коксохимическое производство,2023-10-31T10:37,31 октября 2023 г.
https://www.metalinfo.ru/ru/news/154651,ММК-МЕТИЗ традиционно участвует в «Металл-Экспо»,"Магнитогорский метизно-калибровочный завод «ММК-МЕТИЗ» примет участие в Международной выставке «Металл-Экспо`2023», которая пройдет с 7 по 10 ноября в Москве в ЦВК «Экспоцентр».
ММК-МЕТИЗ - это более чем 80-летний опыт по производству метизной продукции. Предприятие активно модернизируется, благодаря чему готово удовлетворить практически любые потребности покупателей. Выпуская востребованную практически во всех отраслях промышленности продукцию, ММК-МЕТИЗ стремится выстраивать свою деятельность с высокой степенью экологической эффективности. Поэтому в основе концепции стенда ММК-МЕТИЗ и идея привлечения внимания к вопросам охраны окружающей среды, и возможность продемонстрировать, что экология для предприятия - не модный тренд, а осознанная необходимость в организации производства так, чтобы не навредить окружающей среде.
Гости стенда смогут познакомиться с продукцией предприятия и сферами ее применения, наглядно увидеть, что метизы имеют не только утилитарное применение, но и могут быть материалом для высокого искусства. Для посетителей подготовлены образцы продукции, новые каталоги, богатый раздаточный материал. На стенде будут работать специалисты предприятия, которые расскажут о производстве метизной продукции, новых металлоизделиях, освоенных в последнее время, ответят на вопросы посетителей.
ММК-МЕТИЗ приглашает партнеров посетить свой стенд № 21А30 в ЦВК «Экспоцентр». Участие предприятия в выставке будет освещаться в официальной группе предприятия в VК.",ММК-Метиз;Металл-Экспо,2023-10-31T09:48,31 октября 2023 г.
https://www.metalinfo.ru/ru/news/154643,На Златоустовском МЗ отремонтирована установка полунепрерывной разливки стали №2,"На Златоустовском МЗ полностью отремонтирована установка полунепрерывной разливки стали №2
Для разливки металла в электроды для переплава на ЭШП и ВДП в третьем электросталеплавильном цехе применяются две установки.  УПНР №2 используется при разливке тяжеловесов — слитков диаметра 300-520 мм круглого сечения.
Агрегат был остановлен на капитальный ремонт 15 октября и строго в соответствии с графиком завершился 25 октября. За это время проведён полный демонтаж механизма вытягивания электродов, водоохлаждаемых направляющих, металлоконструкции рамы кантовки машины. Проведена очистка рамы и монтаж новых водоохлаждаемых направляющих машины с заменой изношенных металлоконструкций  и деталей.
В заметных преобразованиях агрегата активное участие принимали бригады ЦРМО под руководством мастеров: Александра Васильевича  Богданова и Ивана Андреевича Логинова.  Контролировал работу начальник ЦРМО Сергей Александрович Мягков. Среди работников третьего электросталеплавильного отмечают высокую самоотдачу мастера по ремонту оборудования Алексея Юрьевича Храмова, бригадира слесарей-ремонтников Николая Николаевича Галушка, сварщиков и резчиков. Работы велись круглосуточно.
Остановка на ремонт важного оборудования не сказалась на объёмах выпускаемой цехом продукции.
Напомним: машина полунепрерывной разливки стали была установлена в ЭСПЦ № 3 Златоустовского металлургического завода впервые на Урале.
",Златоустовский МЗ,2023-10-31T08:52,31 октября 2023 г.
https://www.metalinfo.ru/ru/news/154642,ТАСС: В Северстали сообщили о сохранении маржинальности перевозок на дальние расстояния,"Перевозки ""Северстали"" на дальние расстояния остаются маржинальными, компания видит рост тарифов на железнодорожные перевозки.Об этом ТАССв кулуарах конференции Smartlab сообщил начальник отдела по работе с инвесторами ""Северстали"" Никита Климантов.
""В целом, да, они маржинальные, но сейчас компания сфокусирована на внутренний рынок в первую очередь и рынок СНГ. Они дают нам большую экономическую эффективность по сравнению с другими рынками"", - сказал он.
Климантов отметил, что сейчас увеличились железнодорожные тарифы для перевозок, что приводит к росту себестоимости металлопродукции. ""Можно отметить рост тарифов (железнодорожных - прим. ТАСС), это давит на себестоимость и стоимость транспортировки растет, и остальные тарифы естественных монополий тоже растут"", - уточнил он.
В мае этого года Климантов отмечал, что увеличение логистических затрат сказалось на экспортной маржинальности компании, но в меньшей степени повлияло на общую рентабельность бизнеса из-за снижения доли экспорта.",Северсталь;перевозки,2023-10-31T07:27,31 октября 2023 г.
https://www.metalinfo.ru/ru/news/154655,На ММЗ в ДНР осваивают производство бунтовой арматуры,"На Макеевском металлургическом заводе (ММЗ, г.Макеевка, Донецкая Народная Республика) состоялся первый этап освоения производства на стане 150 арматурного проката в бунтах №6 класса прочности А500С по ГОСТ 34028, в ходе которого предприятие выпустило 368 т данного вида продукции, – сообщают в пресс-службе Министерства промышленности и торговли ДНР.
«На данном этапе была проведена отработка режимов и определение технической возможности выпуска бунтовой арматуры № 6. В результате было установлено, что механические свойства и геометрические размеры продукции первой партии соответствуют требованиям ГОСТ 34028», – уточняют в пресс-службе.
Как напоминают в Минпромторге, производство на стане 150 первого профиля бунтовой арматуры диаметром 8,0мм было освоено год назад, и теперь ММЗ выпускает данный вид продукции в промышленных объемах. В конце сентября 2023 г. на этом же стане было освоено производство бунтовой арматуры №10.
«Освоение выпуска бунтовой арматуры направлено на расширение рынков сбыта и, соответственно, повышение конкурентоспособности предприятия», – подчеркивают в пресс-службе.Напомним, что ММЗ входит в состав созданного в середине 2021 г. ООО «Южный горно-металлургический комплекс», включающего также Алчевский металлургический комбинат (АМК), Енакиевский металлургический завод (ЕМЗ), Стахановский завод ферросплавов (СЗФ), Ясиновский коксохимический завод (ЯКХЗ), «Макеевкокс» и Комсомольское рудоуправление.
ММЗ является филиалом ЕМЗ, предприятия с полным технологическим циклом и поставщика сырья для ММЗ, и специализируется на выпуске катанки, арматуры и углового проката.
Макеевский металлургический завод примет участие в 29-й Международной промышленной выставке ""Металл-Экспо-2023""в составе стенда ЮГМК(номер стенда - 23B07).",Макеевский металлургический комбинат,2023-10-31T07:03,31 октября 2023 г.
https://www.metalinfo.ru/ru/news/154615,Экскурсия для будущих металлургов на Северский трубный завод (видео),"Будущие металлурги, а пока студенты Уральского политехнического колледжа посетили Северский трубный завод с экскурсией. Ребята обучаются по специальности «обработка металлов давлением» и на СТЗ приехали знакомиться с технологией обработки труб, которую в колледже осваивают теоретически.
Подробности смотрите в видеосюжете.

",Северский ТЗ;подготовка кадров;ТМК;промышленный туризм,2023-10-31T06:15,31 октября 2023 г.
https://www.metalinfo.ru/ru/news/154653,Определены обладатели золотых и серебряных медалей  «Металл-Экспо’2023»,"Сегодня состоялось заседание комиссии на присвоение медалей 29-й Международной промышленной выставки «Металл-Экспо’2023», которая пройдет 7-10 ноября в московском ЦВК «Экспоцентр». В нем приняли участие Геннадий Еремин, заместитель генерального директора по работе с предприятиями ФГУП «ЦНИИчермет им. И.П.Бардина», Борис Сивак, президент «Металлургмаш», первый заместитель генерального директора АХК ВНИИМЕТМАШ, Юрий Райков, генеральный директор Института Цветметобработка, Богдан Павлюк, заместитель генерального директора НПО ЦНИИТМАШ, Алексей Коростелев, начальник отдела материаловедения НИКИЭТ им. Н.А. Доллежая, Виктор Камелин, генеральный директор Ассоциации «Промметиз», Константин Косырев, исполнительный директор Корпорации АльянсМеталлургия, Александр Колесников, руководитель научно-учебного комплекса «Машиностроительные технологии» МГТУ им. Н.Э. Баумана, Наталья Коротченко (МИСиС), Андрей Беляев (Государственный Университет Управления).
На соискание звания лауреата, золотых и серебряных медалей выставки было представлено 44 проекта в сфере производства металлопродукции, металлообработки, оборудования и технологий, экологии и ресурсосбережения. В конкурсе изданий металлургических компаний и научно-исследовательских организаций приняли участие пять изданий. Большую активность проявили участники конкурса «Молодые ученые»: комиссия рассмотрела 27 работ студентов, аспирантов профильных металлургических вузов, отраслевых институтов, а также молодых сотрудников производственных предприятий. На конкурс «Лучшее произведение кузнечного искусства» подано четыре представления. Всего - 53.
После долгих дебатов ученых, комиссия выбрала все-таки лучшие работы. Они касаются действительно прорывных технологий и разработок вроде криогенных сталей, например.
Обладатели престижных медалей будут оглашены 9 ноябряна площадке выставкиво время церемонии награждения предприятий, компаний, институтов золотыми и серебряными медалями «Металл-Экспо» за высокотехнологичные разработки оборудования, технологий и продукции черной и цветной металлургии. А пока сохраняем имена победителей в тайне, создаем интригу, созидаем дальше.",Металл-Экспо;научная база;отраслевая наука;золотые и серебряные медали,2023-10-30T16:47,30 октября 2023 г.
https://www.metalinfo.ru/ru/news/154648,Ашинский МЗ ждет партнеров на Металл-Экспо'2023,"С 7 по 10 ноября 2023 годаАшинский метзаводпримет участие в Международной выставке ""Метал-Экспо'2023"", которая пройдет в московском ЦВК «Экспоцентр».
В течение четырех дней будут проходить встречи и переговоры между участниками рынка металлов.
Специалисты Ашинского МЗ  будут ждать партнеров для обсуждения перспектив сотрудничества, вопросов и предложений по текущему взаимодействию, качеству и сортаменту продукции.
Стенд Ашинского металлургического завода - № 21А10 будет расположен в павильоне №2 (зал №1).
Ашинский МЗ производит широкую номенклатуру высококачественной продукции:
- тонколистовой и толстолистовой металлопрокат из углеродистых, конструкционных, судовых, котельных, низколегированных, коррозионностойких, жаропрочных и жаростойких сталей и сплавов;- лента из низкоуглеродистой, нержавеющей стали;- лента и магнитопроводы из электротехнических, аморфных, нанокристаллических сталей и сплавов;- металлические порошки;- товары народного потребления из нержавеющей стали для отдыха и туризма, садово-огородный инвентарь.",Ашинский МЗ;Металл-Экспо,2023-10-30T14:45,30 октября 2023 г.
https://www.metalinfo.ru/ru/news/154641,ТАСС: Северсталь сохраняет намерение заключить с ФАС мировое соглашение по делу металлургов,"Компания ""Северсталь"" сохраняет намерение заключить с ФАС мировое соглашение по делу о завышении цен на горячекатаный прокат, ведутся обсуждения условий соглашения. Об этом ТАСС в кулуарах конференции Smartlab сообщил начальник отдела по работе с инвесторами ""Северстали"" Никита Климантов.
""Обсуждения идут, ждем. В расследовании мы участвуем. Как ранее заявляли, готовы подписать мировое соглашение. Когда будет принято окончательное решение, у нас нет информации"", - рассказал Климантов.
Ранее глава ФАС Максим Шаскольский говорил ТАСС, что служба планирует завершить обсуждение условий мирового соглашения с металлургами этой осенью.
Подробнее на ТАСС",Северсталь;ФАС,2023-10-30T13:31,30 октября 2023 г.
https://www.metalinfo.ru/ru/news/154639,Загорский ТЗ признан  организацией высокой социальной эффективности,"Загорский трубный завод стал лауреатом Всероссийского конкурса «Российская организация высокой социальной эффективности» в номинации «За сокращение производственного травматизма и профессиональной заболеваемости в организациях производственной сферы». Торжественная церемония награждения состоялась в Правительстве Московской области.Этот конкурс проводится в нашей стране с 2000 года, его основная цель — решение важных социальных вопросов на уровне предприятий и различных организаций. Загорский трубный завод участвовал в нём впервые — металлурги представили свой опыт работы по сокращению и профилактике травматизма на производстве. «Вопросы безопасности производства всегда были приоритетом для предприятия», — подчеркнул Управляющий директор АО «Загорский трубный завод» Иван Михин.
Работа по профилактике и предотвращению происшествий на заводе проводится ежедневно. Средства индивидуальной защиты на предприятии совершенствуются непрерывно — от спецодежды, респираторов и защитных касок до экзоскелетов, которые призваны помогать снять нагрузку. Это и многие другие достижения Загорского трубного завода были представлены в рамках регионального этапа конкурса «Российская организация высокой социальной эффективности», по итогам которого предприятие заняло почётное второе место. Участвовать завод планирует в конкурсе ежегодно, конечная цель — занять первое место и состязаться с промышленниками в рамках федерального этапа.
«Конкурс уже помог оценить наши достижения и возможности. Впереди — реализация множества идей и передовых практик. В 2024 году в охране труда предстоят крупные изменения. Изменения, внесенные в законодательство, предписывают переходить промышленникам на новые нормы выдачи средств индивидуальной защиты. Ранее мы использовали типовые нормы по металлургической отрасли, теперь же мы разрабатываем единые типовые нормы, с учетом профессиональных рисков и выявленных вредных факторов на конкретных рабочих местах нашего предприятия. Наша основная задача — полностью исключить травматизм сотрудников», — говорит Иван Михин.",Загорский трубный завод;Загорский ТЗ;социальная инфраструктура;социальная ответственность;социальное партнерство,2023-10-30T13:10,30 октября 2023 г.
